Performance File for Cold Call Assist Program
Date:,2022/01/29
First Name,Last Name,UO ID,Email,Times Called,Times Flagged,Absences,List of Dates Spoken
Hannah,Anderson,9516838123,ha@gmail.com,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Giannis,Antetokounmpo,9514783244,giannis@bucks.com,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Pam,Beesly,9514843234,pam@dundermiflin.gov,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Tom,Cruise,9513783123,tom@gmail.com,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Stephen,Curry,951784563,goat@warriors.edu,1,0,0,-,-,-,-,-,-,-,-,2022/01/27,-,-
Enzo,Ferrari,951563134,ilikecars@ferrari.com,0,0,1,-,-,-,-,-,-,-,-,-,-,-
Karen,Filappelli,951382313,karen@dundermiflin.com,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Dorothy,Gale,9516388439,dorothy@oz.gov,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Rory,Godekki,951563121,rodekki@google.net,1,0,0,-,2022/01/27,-,-,-,-,-,-,-,-,-
Lori,Greiner,951039488,lori@sharktank.com,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Kamala,Harris,951472111,harris@vp.gov,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Lebron,James,951646382,bron@lakers.edu,0,0,1,-,-,-,-,-,-,-,-,-,-,-
Steve,Jobs,951533313,steve@apple.com,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Jaeger,Jochimsen,955821223,jaeger@juoregon.edu,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Nick,Johnstone,951444525,nsj@uoregon.edu,0,0,1,-,-,-,-,-,-,-,-,-,-,-
Stephen,Levekis,951225435,slevecki@uoregon.edu,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Alfredo,Lunki,951736458,fred@youtube.com,1,0,0,-,-,-,-,-,-,-,-,-,-,2022/01/29
Emily,McDonald,951838174,emy@uoregon.edu,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Barack,Obama,951456789,obama@president.gov,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Jordan,Peele,951738083,jordan@yahoo.com,1,1,0,-,-,-,-,-,-,-,-,2022/01/27,-,-
Myella,Primmer,951314567,myellap@uoregon.edu,1,1,0,-,2022/01/27,-,-,-,-,-,-,-,-,-
Aaron,Rodgers,951843256,rodgers@packers.com,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Bart,Simpson,951484234,bart@uoregon.edu,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Rafael,Subasa,951637894,raf@uoregon.edu,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Ron,Swanson,9513838292,ron@gmail.ron,0,0,1,-,-,-,-,-,-,-,-,-,-,-
Daenerys,Targaryen,951838373,dt@uoregon.edu,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Kai,Xiong,951234144,kxiong@uoregon.edu,1,1,0,-,-,-,-,-,-,-,-,-,-,2022/01/29
Mert,Yapucuoglu,951324569,merty@uoregon.edu,0,0,0,-,-,-,-,-,-,-,-,-,-,-
